"query","variants","reason","source_files","source_locations","trends_signal"
"how to export bookmarks chrome","how to export bookmarks chrome","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv#11 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#50 | searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#18 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#49 | searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv#34","rising | rising:Breakout | top | top:Breakout"
"how to export excel to pdf","how to export excel to pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#28","top"
"how to export pdf to word","how to export pdf to word","Unsupported reverse or unrelated file conversion","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#21","top"
"how to export word to pdf","how to export word to pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#25","top"
"how to file small claims","how to file small claims","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#13 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#31 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#51","rising | top"
"how to fix screen flickering","how to fix screen flickering","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#30","rising"
"how to improve memory","how to improve memory","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#27","rising"
"how to increase page file","how to increase page file","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#24","top"
"how to knit a hat","how to knit a hat","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#40","rising"
"how to lower cholesterol naturally","how to lower cholesterol naturally","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#36","rising"
"how to make a good presentation","how to make a good presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#44","top"
"how to make a powerpoint presentation","how to make a powerpoint presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#35","top"
"how to make a presentation","how to make a presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#13","top"
"how to make iced coffee","how to make iced coffee","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#24","rising"
"how to make kimchi","how to make kimchi","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#28","rising"
"how to make presentation","how to make presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#10","top"
"how to open pptx","how to open pptx","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#47","top"
"how to remove duplicate photos","how to remove duplicate photos","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#42","rising"
"how to rename a file","how to rename a file","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (1).csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (1).csv#11 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (1).csv#33","rising | top"
"how to reset router","how to reset router","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#18","rising"
"how to roast cauliflower","how to roast cauliflower","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#38","rising"
"how to save pdf as jpg","how to save pdf as jpg","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#49 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#11 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#5","rising"
"how to scan documents to pdf","how to scan documents to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#47 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#12","rising"
"how to scrape data from a website","how to scrape data from a website","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#47 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#41","rising | top"
"how to scrape google jobs","how to scrape google jobs","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#8 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#39","rising | top"
"how to set up parental controls","how to set up parental controls","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#26","rising"
"how to silence unknown callers","how to silence unknown callers","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#44","rising"
"how to split pdf files","how to split pdf files","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#13 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#4","rising"
"how to start a podcast on spotify","how to start a podcast on spotify","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#37","rising"
"how to start a presentation","how to start a presentation","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#26","top"
"how to stop apps from crashing","how to stop apps from crashing","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#25","rising"
"how to stop motion sickness","how to stop motion sickness","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#29","rising"
"how to transfer contacts to new phone","how to transfer contacts to new phone","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#34","rising"
"how to turn off location on android","how to turn off location on android","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#35","rising"
"how to use ai","how to use ai","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#6","top"
"how to use chatgpt effectively","how to use chatgpt effectively","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#2 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#33","rising | top"
"how to web scrape with python","how to web scrape with python","Programmatic scraping or parser intent not served by the product","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv#41 | searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv#18","rising | top"
"how to write meeting agenda","how to write meeting agenda","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#38 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#48","rising"
"humanize ai","humanize ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#37 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#35","rising | top"
"i love my pdf","i love my pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#25 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#45","rising"
"i love pdf","i love pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#26 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#23 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#7","top"
"i love pdf pdf to word","i love pdf pdf to word","Unsupported reverse or unrelated file conversion","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#39","top"
"i love pdf to word","i love pdf to word","Unsupported reverse or unrelated file conversion","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#37 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#49","top"
"i love pdf word to pdf","i love pdf word to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#39 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#36","rising | top"
"i love word to pdf","i love word to pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#40 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#48","top"
"ia chat gpt","ia chat gpt","Generic AI product navigation without export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#40","top"
"ia gpt","ia gpt","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv#32","top"
"if claude's response is too generic, what should you try? add more details about your audience, role, or constraints ask claude to search the web for better answers switch to a different ai model start a new conversation and ask the same question","if claude's response is too generic, what should you try? add more details about your audience, role, or constraints ask claude to search the web for better answers switch to a different ai model start a new conversation and ask the same question","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#8","rising"
"ilovepdf","ilovepdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#50 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#50 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#43","rising | top"
"ilovepdf pdf","ilovepdf pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#43 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#41","rising | top"
"ilovepdf pdf to word","ilovepdf pdf to word","Unsupported reverse or unrelated file conversion","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#44 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#32","rising"
"image convert to pdf","image convert to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#40 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#34","rising | top"
"image to pdf","image to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#44 | searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#17 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#35 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv#20 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#37 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#33 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#19 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#20 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#10 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#12 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#20","rising | top"
"image to pptx","image to pptx","Unsupported reverse or unrelated file conversion","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#30 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#44","rising | top"
"image to video ai","image to video ai","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv#26","top"
"images to pdf","images to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv#18 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#33","rising | top"
"img to pdf","img to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#33","rising"
"import export","import export","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#13","top"
"income tax","income tax","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#7","rising"
"income tax login","income tax login","Navigational, availability or download intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#48","rising"
"internet of things examples","internet of things examples","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#42","rising"
"iphone xs to buy","iphone xs to buy","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#34","rising"
"is chatgpt down","is chatgpt down","Generic AI product navigation without export intent","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv#27 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#29","rising | top"
"janitor ai","janitor ai","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv#45 | searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv#41","rising | top"
"javascript libraries","javascript libraries","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv#43 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv#16 | searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#45 | searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#46 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#11","rising"
"jpeg to pdf","jpeg to pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#48 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#39","top"
"jpg a pdf","jpg a pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#47","top"
"jpg convert to pdf","jpg convert to pdf","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#20","top"
"jpg to pdf","jpg to pdf","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#46 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#16 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv#27 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#8 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv#32 | searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv#28 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv#37 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#5 | searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv#8","rising | top"
"jpg to pdf convert","jpg to pdf convert","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv#22 | searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#32 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#29","top"
"jpg to pdf converter","jpg to pdf converter","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv#29 | searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv#36","top"
"jpg to pptx","jpg to pptx","Generic presentation or unsupported presentation-file intent","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#51","top"
"js to pptx","js to pptx","Generic presentation or unsupported presentation-file intent","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#31","rising"
"json","json","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#5","top"
"json parse","json parse","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#3","top"
"json parse error","json parse error","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#42","top"
"json parse javascript","json parse javascript","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#51","top"
"json parse online","json parse online","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#48","top"
"json parse python","json parse python","No direct Page 2 File conversion or export intent","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#39","top"
"key to pptx","key to pptx","Unsupported reverse or unrelated file conversion","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv#42 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv#35","rising"
"klyndor route mesh index binder","klyndor route mesh index binder","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv#5","rising:Breakout"
"kubernetes news","kubernetes news","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv#31","rising:Breakout"
"kubernetes orchestration","kubernetes orchestration","No direct Page 2 File conversion or export intent","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv#26 | searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv#39 | searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv#9","rising"
